Feature ID	Test stat.	pval	pval_fdr	pval_bon	taxonomy
JQ624346.1.1517	0.020358297	0.60368508	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HM468058.1.1472	0.020061589	0.608972416	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN825629.1.1420	0.019749751	0.614551406	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JQ716280.1.1501	0.019749751	0.614551406	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN471021.1.1392	0.019749751	0.614551406	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
CU920011.1.1372	-0.018516901	0.636823899	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN494855.1.1284	-0.017481115	0.655793644	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
LN573138.1.1378	0.017047154	0.663808542	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AB694441.1.1517	-0.016839262	0.667661837	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
FJ497567.1.1509	0.016735316	0.669591773	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HE804505.1.1464	0.016623971	0.671661489	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KM205506.1.1472	0.016400791	0.675817519	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium; D_3__uncultured soil bacterium; D_4__uncultured soil bacterium; D_5__uncultured soil bacterium; D_6__uncultured soil bacterium
AJ390440.1.1393	-0.016228497	0.67903272	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PBS-II-4; D_3__uncultured soil bacterium PBS-II-4; D_4__uncultured soil bacterium PBS-II-4; D_5__uncultured soil bacterium PBS-II-4; D_6__uncultured soil bacterium PBS-II-4
AB694364.1.1495	0.015395451	0.694659605	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
EF520619.1.1342	-0.015021041	0.701725901	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AB488387.1.1385	-0.013240331	0.735677261	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN538952.1.1423	-0.013240315	0.73567756	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
JN517537.1.1416	0.012057743	0.758517442	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
LN570902.1.1381	0.011890819	0.761758887	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN480928.1.1296	-0.009355145	0.811479897	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
AB013271.1.1517	-0.009355145	0.811479897	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ385540.1.1392	-0.009355145	0.811479897	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
EU266872.1.1510	-0.009355145	0.811479897	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured Fusobacteria bacterium; D_3__uncultured Fusobacteria bacterium; D_4__uncultured Fusobacteria bacterium; D_5__uncultured Fusobacteria bacterium; D_6__uncultured Fusobacteria bacterium
FJ484711.1.1383	-0.008534987	0.827736412	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured candidate division BRC1 bacterium; D_3__uncultured candidate division BRC1 bacterium; D_4__uncultured candidate division BRC1 bacterium; D_5__uncultured candidate division BRC1 bacterium; D_6__uncultured candidate division BRC1 bacterium
AB240228.1.1501	-0.008056159	0.83726197	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AJ390481.1.1319	-0.006734155	0.863680835	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PRR-11; D_3__uncultured soil bacterium PRR-11; D_4__uncultured soil bacterium PRR-11; D_5__uncultured soil bacterium PRR-11; D_6__uncultured soil bacterium PRR-11
JN441994.1.1420	-0.005509141	0.88829852	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
FP245541.18871.20397	-0.002761075	0.94388002	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN495910.1.1222	-0.002083721	0.957632523	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
KF963730.1.1386	0.001143407	0.97674394	1	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
DQ067040.1.1402	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
FJ516826.1.1512	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AB694429.1.1422	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
FJ497309.1.1473	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN435750.1.1354	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
CU917571.1.1371	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
EU369122.1.1481	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JQ407918.1.1332	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AB804236.1.1501	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN444747.1.1334	nan	nan	1	nan	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
